#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase ()
1,5000.0,0.1000,36.65,-1.32
2,5175.7,0.1000,36.64,-1.36
3,5357.6,0.1000,36.65,-1.37
4,5545.9,0.1000,36.64,-1.51
5,5740.8,0.1000,36.63,-1.53
6,5942.5,0.1000,36.64,-1.55
7,6151.3,0.1000,36.64,-1.60
8,6367.5,0.1000,36.66,-1.60
9,6591.3,0.1000,36.63,-1.70
10,6822.9,0.1000,36.64,-1.72
11,7062.7,0.1000,36.66,-1.83
12,7310.9,0.1000,36.64,-1.98
13,7567.8,0.1000,36.65,-2.00
14,7833.8,0.1000,36.64,-2.00
15,8109.1,0.1000,36.63,-2.16
16,8394.0,0.1000,36.65,-2.22
17,8689.0,0.1000,36.66,-2.30
18,8994.4,0.1000,36.64,-2.34
19,9310.4,0.1000,36.64,-2.47
20,9637.6,0.1000,36.65,-2.54
21,9976.3,0.1000,36.63,-2.64
22,10326.9,0.1000,36.65,-2.75
23,10689.8,0.1000,36.63,-2.77
24,11065.5,0.1000,36.64,-2.95
25,11454.3,0.1000,36.63,-2.98
26,11856.9,0.1000,36.64,-3.15
27,12273.5,0.1000,36.64,-3.21
28,12704.9,0.1000,36.64,-3.30
29,13151.3,0.1000,36.64,-3.44
30,13613.5,0.1000,36.64,-3.60
31,14091.9,0.1000,36.64,-3.72
32,14587.1,0.1000,36.63,-3.89
33,15099.8,0.1000,36.66,-4.00
34,15630.4,0.1000,36.64,-4.12
35,16179.7,0.1000,36.63,-4.30
36,16748.3,0.1000,36.63,-4.37
37,17336.8,0.1000,36.63,-4.62
38,17946.1,0.1000,36.63,-4.80
39,18576.8,0.1000,36.63,-4.92
40,19229.6,0.1000,36.63,-5.08
41,19905.4,0.1000,36.60,-5.27
42,20604.9,0.1000,36.62,-5.43
43,21329.0,0.1000,36.61,-5.60
44,22078.5,0.1000,36.62,-5.83
45,22854.4,0.1000,36.61,-5.95
46,23657.6,0.1000,36.60,-6.31
47,24488.9,0.1000,36.60,-6.46
48,25349.5,0.1000,36.61,-6.60
49,26240.4,0.1000,36.60,-6.87
50,27162.5,0.1000,36.59,-7.09
51,28117.1,0.1000,36.58,-7.34
52,29105.2,0.1000,36.58,-7.58
53,30128.0,0.1000,36.58,-7.83
54,31186.7,0.1000,36.57,-8.14
55,32282.7,0.1000,36.58,-8.35
56,33417.2,0.1000,36.56,-8.66
57,34591.5,0.1000,36.55,-8.94
58,35807.2,0.1000,36.55,-9.23
59,37065.5,0.1000,36.55,-9.59
60,38368.1,0.1000,36.54,-9.91
61,39716.4,0.1000,36.54,-10.24
62,41112.1,0.1000,36.54,-10.56
63,42556.9,0.1000,36.54,-10.87
64,44052.4,0.1000,36.51,-11.28
65,45600.5,0.1000,36.51,-11.67
66,47203.0,0.1000,36.50,-12.03
67,48861.9,0.1000,36.50,-12.47
68,50579.0,0.1000,36.47,-12.90
69,52356.4,0.1000,36.49,-13.37
70,54196.3,0.1000,36.46,-13.81
71,56100.9,0.1000,36.44,-14.25
72,58072.4,0.1000,36.43,-14.80
73,60113.2,0.1000,36.42,-15.26
74,62225.7,0.1000,36.39,-15.79
75,64412.5,0.1000,36.39,-16.44
76,66676.1,0.1000,36.37,-16.78
77,69019.2,0.1000,36.39,-17.41
78,71444.7,0.1000,36.34,-17.93
79,73955.4,0.1000,36.33,-18.42
80,76554.4,0.1000,36.31,-19.06
81,79244.7,0.1000,36.26,-19.76
82,82029.5,0.1000,36.25,-20.28
83,84912.2,0.1000,36.20,-21.34
84,87896.2,0.1000,36.25,-21.74
85,90985.0,0.1000,36.20,-22.58
86,94182.5,0.1000,36.10,-23.24
87,97492.2,0.1000,36.10,-23.92
88,100918.3,0.1000,36.05,-24.77
89,104464.8,0.1000,35.99,-25.78
90,108135.9,0.1000,35.93,-26.80
91,111936.1,0.1000,35.96,-27.48
92,115869.7,0.1000,35.86,-28.37
93,119941.6,0.1000,35.85,-29.48
94,124156.7,0.1000,35.79,-30.54
95,128519.8,0.1000,35.71,-31.44
96,133036.3,0.1000,35.65,-32.58
97,137711.4,0.1000,35.58,-33.53
98,142550.9,0.1000,35.52,-34.55
99,147560.5,0.1000,35.43,-35.70
100,152746.1,0.1000,35.37,-36.85
101,158113.9,0.1000,35.25,-37.75
102,163670.3,0.1000,35.20,-38.94
103,169422.1,0.1000,35.08,-40.09
104,175375.9,0.1000,35.00,-41.55
105,181539.0,0.1000,34.87,-42.67
106,187918.7,0.1000,34.71,-43.93
107,194522.6,0.1000,34.59,-45.53
108,201358.5,0.1000,34.43,-46.69
109,208434.7,0.1000,34.35,-47.92
110,215759.5,0.1000,34.19,-49.58
111,223341.8,0.1000,34.02,-50.69
112,231190.5,0.1000,33.86,-52.26
113,239315.0,0.1000,33.67,-53.74
114,247725.1,0.1000,33.47,-55.07
115,256430.7,0.1000,33.28,-56.44
116,265442.2,0.1000,33.11,-57.70
117,274770.4,0.1000,32.91,-59.21
118,284426.5,0.1000,32.67,-60.68
119,294421.8,0.1000,32.43,-62.10
120,304768.4,0.1000,32.19,-63.83
121,315478.7,0.1000,31.93,-65.18
122,326565.3,0.1000,31.70,-66.27
123,338041.5,0.1000,31.40,-67.93
124,349921.0,0.1000,31.12,-69.39
125,362218.0,0.1000,30.82,-70.69
126,374947.1,0.1000,30.53,-72.07
127,388123.6,0.1000,30.20,-73.44
128,401763.1,0.1000,29.89,-74.77
129,415881.9,0.1000,29.54,-75.98
130,430496.9,0.1000,29.22,-77.19
131,445625.5,0.1000,28.88,-78.39
132,461285.7,0.1000,28.51,-79.63
133,477496.3,0.1000,28.31,-79.25
134,494276.5,0.1000,27.96,-80.63
135,511646.5,0.1000,27.58,-81.78
136,529626.9,0.1000,27.23,-82.51
137,548239.1,0.1000,26.85,-83.51
138,567505.4,0.1000,26.48,-84.20
139,587448.8,0.1000,26.17,-85.18
140,608093.0,0.1000,25.79,-85.92
141,629462.7,0.1000,25.46,-86.92
142,651583.4,0.1000,24.98,-87.96
143,674481.4,0.1000,24.62,-88.87
144,698184.2,0.1000,24.20,-89.77
145,722719.9,0.1000,23.89,-90.62
146,748117.8,0.1000,23.49,-90.95
147,774408.3,0.1000,23.04,-91.13
148,801622.7,0.1000,22.74,-92.45
149,829793.5,0.1000,22.36,-93.15
150,858954.2,0.1000,21.94,-92.84
151,889139.7,0.1000,21.61,-93.50
152,920386.0,0.1000,21.25,-93.82
153,952730.4,0.1000,20.83,-94.24
154,986211.4,0.1000,20.48,-94.36
155,1020869.0,0.1000,20.09,-94.86
156,1056744.5,0.1000,19.73,-95.18
157,1093880.8,0.1000,19.35,-95.49
158,1132322.2,0.1000,18.97,-95.47
159,1172114.4,0.1000,18.65,-95.98
160,1213305.0,0.1000,18.20,-96.20
161,1255943.2,0.1000,17.81,-96.44
162,1300079.8,0.1000,17.46,-96.94
163,1345767.4,0.1000,17.10,-97.09
164,1393060.6,0.1000,16.75,-97.53
165,1442015.8,0.1000,16.41,-97.96
166,1492691.3,0.1000,16.03,-98.23
167,1545147.7,0.1000,15.70,-98.84
168,1599447.6,0.1000,15.25,-98.43
169,1655655.6,0.1000,15.01,-99.00
170,1713838.9,0.1000,14.70,-99.53
171,1774066.9,0.1000,14.26,-99.67
172,1836411.5,0.1000,13.90,-100.21
173,1900947.0,0.1000,13.55,-99.73
174,1967750.4,0.1000,13.14,-100.50
175,2036901.4,0.1000,12.80,-100.50
176,2108482.5,0.1000,12.47,-100.57
177,2182579.2,0.1000,12.04,-101.25
178,2259279.7,0.1000,11.70,-101.57
179,2338675.7,0.1000,11.36,-101.15
180,2420861.8,0.1000,10.99,-101.79
181,2505936.2,0.1000,10.66,-101.96
182,2594000.2,0.1000,10.33,-102.02
183,2685159.0,0.1000,9.95,-101.78
184,2779521.3,0.1000,9.60,-102.72
185,2877199.7,0.1000,9.17,-102.57
186,2978310.7,0.1000,8.98,-101.93
187,3082975.0,0.1000,8.56,-102.11
188,3191317.4,0.1000,8.25,-102.42
189,3303467.2,0.1000,7.84,-102.80
190,3419558.2,0.1000,7.49,-102.13
191,3539728.9,0.1000,7.23,-102.74
192,3664122.7,0.1000,6.92,-103.41
193,3792887.9,0.1000,6.61,-103.37
