time	V(v0)	V(v3)
0.000000000000000e+00	0.000000e+00	-1.362162e-05
4.750735552154281e-08	1.825305e-08	-1.332512e-05
9.501471104308562e-08	3.623671e-08	-1.326830e-05
1.425220665646284e-07	5.395096e-08	-1.345116e-05
1.900294220861712e-07	7.139582e-08	-1.387370e-05
2.375367776077141e-07	8.857128e-08	-1.453592e-05
2.850441331292568e-07	1.054773e-07	-1.543781e-05
3.325514886507995e-07	1.221140e-07	-1.657938e-05
3.845877108169562e-07	1.395879e-07	-1.923337e-05
4.557095248527387e-07	1.623352e-07	-2.496695e-05
5.464115605522390e-07	1.891480e-07	-3.656849e-05
6.593265996147390e-07	2.185540e-07	-5.702716e-05
7.263429934981994e-07	2.338021e-07	-7.686079e-05
7.933593873816599e-07	2.470285e-07	-9.897663e-05
8.603757812651202e-07	2.582331e-07	-1.233747e-04
9.273921751485807e-07	2.674159e-07	-1.500549e-04
9.944085690320409e-07	2.745770e-07	-1.790174e-04
1.061424962915501e-06	2.797163e-07	-2.102621e-04
1.128441356798962e-06	2.828339e-07	-2.437890e-04
1.226097606798962e-06	2.834344e-07	-2.850581e-04
1.323753856798962e-06	2.796893e-07	-3.167623e-04
1.421410106798962e-06	2.717994e-07	-3.322174e-04
1.519066356798962e-06	2.600479e-07	-3.240972e-04
1.616722606798962e-06	2.447932e-07	-2.846420e-04
1.714378856798962e-06	2.264599e-07	-2.059307e-04
1.812035106798962e-06	2.055284e-07	-8.016517e-05
1.909691356798962e-06	1.825234e-07	1.000460e-04
2.007347606798962e-06	1.580013e-07	3.414119e-04
2.105003856798961e-06	1.325370e-07	6.497008e-04
2.202660106798961e-06	1.067106e-07	1.029507e-03
2.300316356798961e-06	8.109365e-08	1.484046e-03
2.397972606798961e-06	5.623600e-08	2.014994e-03
2.495628856798961e-06	3.265332e-08	2.622354e-03
2.593285106798961e-06	1.081530e-08	3.304380e-03
2.690941356798960e-06	-8.864821e-09	4.057540e-03
2.788597606798960e-06	-2.603934e-08	4.876520e-03
2.886253856798960e-06	-4.043359e-08	5.750976e-03
2.928555478583990e-06	-4.576213e-08	6.146384e-03
2.970857100369019e-06	-5.050834e-08	6.549484e-03
3.013158722154049e-06	-5.467221e-08	6.960276e-03
3.055460343939079e-06	-5.825375e-08	7.378761e-03
